_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_difficult_was_the_assertion_to_decide_on,your_choice,annotated_sentence,file,line,pattern,unannotated_sentence,x,your_choice_gold,ys
224443003,11/15/2012 22:34:15,false,704526992,,11/15/2012 22:32:43,false,getpaid,0.8571,12670194,ARE,02,Al Ajman,217.164.237.241,3,True,"Lads/NNS '/POS magazines/NNS such/JJ as/IN Zoo/NP and/CC Nuts/NP should/MD be/VB made/VBN top/JJ shelf/NN titles/NNS with/IN age/NN restrictions/NNS on/IN their/PP$ sale/NN ,/, a/DT report/NN commissioned/VBN by/IN the/DT Home/NP Office/NP is/VBZ to/TO recommend/VB tomorrow/NN ./SENT ",eng2010news.sent.tagged.txt,2394,Hhyp_08,"Lads ' magazines such as Zoo and Nuts should be made top shelf titles with age restrictions on their sale, a report commissioned by the Home Office is to recommend tomorrow.",magazines,,"Zoo, Nuts"
224443003,11/15/2012 22:39:16,false,704534304,,11/15/2012 22:37:40,false,cbf,0.8,13775737,USA,CA,West Covina,24.205.176.225,1,False,"Lads/NNS '/POS magazines/NNS such/JJ as/IN Zoo/NP and/CC Nuts/NP should/MD be/VB made/VBN top/JJ shelf/NN titles/NNS with/IN age/NN restrictions/NNS on/IN their/PP$ sale/NN ,/, a/DT report/NN commissioned/VBN by/IN the/DT Home/NP Office/NP is/VBZ to/TO recommend/VB tomorrow/NN ./SENT ",eng2010news.sent.tagged.txt,2394,Hhyp_08,"Lads ' magazines such as Zoo and Nuts should be made top shelf titles with age restrictions on their sale, a report commissioned by the Home Office is to recommend tomorrow.",magazines,,"Zoo, Nuts"
224443003,11/15/2012 22:40:52,false,704536713,,11/15/2012 22:40:13,false,cbf,0.8,6000149,USA,NY,Buffalo,98.117.179.6,2,True,"Lads/NNS '/POS magazines/NNS such/JJ as/IN Zoo/NP and/CC Nuts/NP should/MD be/VB made/VBN top/JJ shelf/NN titles/NNS with/IN age/NN restrictions/NNS on/IN their/PP$ sale/NN ,/, a/DT report/NN commissioned/VBN by/IN the/DT Home/NP Office/NP is/VBZ to/TO recommend/VB tomorrow/NN ./SENT ",eng2010news.sent.tagged.txt,2394,Hhyp_08,"Lads ' magazines such as Zoo and Nuts should be made top shelf titles with age restrictions on their sale, a report commissioned by the Home Office is to recommend tomorrow.",magazines,,"Zoo, Nuts"
224443003,11/15/2012 22:58:47,false,704561934,,11/15/2012 22:57:48,false,zoombucks,1.0,4692908,USA,ME,Sabattus,72.227.64.74,3,True,"Lads/NNS '/POS magazines/NNS such/JJ as/IN Zoo/NP and/CC Nuts/NP should/MD be/VB made/VBN top/JJ shelf/NN titles/NNS with/IN age/NN restrictions/NNS on/IN their/PP$ sale/NN ,/, a/DT report/NN commissioned/VBN by/IN the/DT Home/NP Office/NP is/VBZ to/TO recommend/VB tomorrow/NN ./SENT ",eng2010news.sent.tagged.txt,2394,Hhyp_08,"Lads ' magazines such as Zoo and Nuts should be made top shelf titles with age restrictions on their sale, a report commissioned by the Home Office is to recommend tomorrow.",magazines,,"Zoo, Nuts"
224443003,11/15/2012 22:59:30,false,704562891,,11/15/2012 22:58:07,false,cbf,0.875,9580039,USA,FL,Dunnellon,74.178.41.52,1,True,"Lads/NNS '/POS magazines/NNS such/JJ as/IN Zoo/NP and/CC Nuts/NP should/MD be/VB made/VBN top/JJ shelf/NN titles/NNS with/IN age/NN restrictions/NNS on/IN their/PP$ sale/NN ,/, a/DT report/NN commissioned/VBN by/IN the/DT Home/NP Office/NP is/VBZ to/TO recommend/VB tomorrow/NN ./SENT ",eng2010news.sent.tagged.txt,2394,Hhyp_08,"Lads ' magazines such as Zoo and Nuts should be made top shelf titles with age restrictions on their sale, a report commissioned by the Home Office is to recommend tomorrow.",magazines,,"Zoo, Nuts"
224443004,11/15/2012 22:38:31,false,704533141,,11/15/2012 22:37:53,false,zoombucks,0.9,8963487,GBR,L9,Sheffield,2.219.201.86,1,True,The/DT main/JJ reason/NN is/VBZ that/ tax-hungry/JJ governments/NNS such/JJ as/IN France/NP or/CC Germany/NP have/VBP lost/VBN the/DT fervour/NN for/IN punishing/VBG their/PP$ banks/NNS at/IN the/DT very/RB same/JJ time/NN they/PP 're/VBP trying/VBG to/TO avoid/VB a/DT regional/JJ sovereign/JJ debt/NN meltdown/NN ./SENT ,eng2010news.sent.tagged.txt,4489,Hhyp_08,The main reason is that tax-hungry governments such as France or Germany have lost the fervour for punishing their banks at the very same time they 're trying to avoid a regional sovereign debt meltdown.,tax-hungry governments,,"France, Germany"
224443004,11/15/2012 22:44:47,false,704542063,,11/15/2012 22:44:24,false,getpaid,0.8333,10541889,IND,25,Madras,117.193.230.29,2,True,The/DT main/JJ reason/NN is/VBZ that/ tax-hungry/JJ governments/NNS such/JJ as/IN France/NP or/CC Germany/NP have/VBP lost/VBN the/DT fervour/NN for/IN punishing/VBG their/PP$ banks/NNS at/IN the/DT very/RB same/JJ time/NN they/PP 're/VBP trying/VBG to/TO avoid/VB a/DT regional/JJ sovereign/JJ debt/NN meltdown/NN ./SENT ,eng2010news.sent.tagged.txt,4489,Hhyp_08,The main reason is that tax-hungry governments such as France or Germany have lost the fervour for punishing their banks at the very same time they 're trying to avoid a regional sovereign debt meltdown.,tax-hungry governments,,"France, Germany"
224443004,11/15/2012 22:45:07,false,704542718,,11/15/2012 22:44:48,false,getpaid,0.8333,10541889,IND,25,Madras,117.193.230.29,2,True,The/DT main/JJ reason/NN is/VBZ that/ tax-hungry/JJ governments/NNS such/JJ as/IN France/NP or/CC Germany/NP have/VBP lost/VBN the/DT fervour/NN for/IN punishing/VBG their/PP$ banks/NNS at/IN the/DT very/RB same/JJ time/NN they/PP 're/VBP trying/VBG to/TO avoid/VB a/DT regional/JJ sovereign/JJ debt/NN meltdown/NN ./SENT ,eng2010news.sent.tagged.txt,4489,Hhyp_08,The main reason is that tax-hungry governments such as France or Germany have lost the fervour for punishing their banks at the very same time they 're trying to avoid a regional sovereign debt meltdown.,tax-hungry governments,,"France, Germany"
224443004,11/15/2012 22:46:26,false,704545321,,11/15/2012 22:46:02,false,zoombucks,0.8,4686658,USA,FL,Maitland,76.4.144.225,4,True,The/DT main/JJ reason/NN is/VBZ that/ tax-hungry/JJ governments/NNS such/JJ as/IN France/NP or/CC Germany/NP have/VBP lost/VBN the/DT fervour/NN for/IN punishing/VBG their/PP$ banks/NNS at/IN the/DT very/RB same/JJ time/NN they/PP 're/VBP trying/VBG to/TO avoid/VB a/DT regional/JJ sovereign/JJ debt/NN meltdown/NN ./SENT ,eng2010news.sent.tagged.txt,4489,Hhyp_08,The main reason is that tax-hungry governments such as France or Germany have lost the fervour for punishing their banks at the very same time they 're trying to avoid a regional sovereign debt meltdown.,tax-hungry governments,,"France, Germany"
224443004,11/15/2012 22:47:03,false,704546139,,11/15/2012 22:45:58,false,fusioncash,1.0,9908299,USA,KY,Somerset,72.51.221.252,1,True,The/DT main/JJ reason/NN is/VBZ that/ tax-hungry/JJ governments/NNS such/JJ as/IN France/NP or/CC Germany/NP have/VBP lost/VBN the/DT fervour/NN for/IN punishing/VBG their/PP$ banks/NNS at/IN the/DT very/RB same/JJ time/NN they/PP 're/VBP trying/VBG to/TO avoid/VB a/DT regional/JJ sovereign/JJ debt/NN meltdown/NN ./SENT ,eng2010news.sent.tagged.txt,4489,Hhyp_08,The main reason is that tax-hungry governments such as France or Germany have lost the fervour for punishing their banks at the very same time they 're trying to avoid a regional sovereign debt meltdown.,tax-hungry governments,,"France, Germany"
